;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;favourite_sport;state;first_born;y
10048;57;self-employed;married;unknown;no;964.0;no;no;unknown;11;jun;;5;-1;0;unknown;Soccer;Lisboa;no;no
10049;42;entrepreneur;married;tertiary;no;5345.0;no;no;unknown;11;jun;878.0;3;-1;0;unknown;Basketball;Lisboa;no;yes
10050;41;services;married;secondary;no;0.0;yes;no;unknown;11;jun;;9;-1;0;unknown;Soccer;Lisboa;no;no
10051;39;blue-collar;single;secondary;no;653.0;no;no;unknown;11;jun;54.0;4;-1;0;unknown;Soccer;Lisboa;yes;no
10052;37;management;married;tertiary;no;1393.0;no;yes;unknown;11;jun;129.0;3;-1;0;unknown;Basketball;Lisboa;no;no
10053;41;admin.;single;secondary;no;812.0;no;yes;unknown;11;jun;583.0;4;-1;0;unknown;Soccer;Lisboa;yes;yes
10054;38;admin.;single;secondary;no;4023.0;no;no;unknown;11;jun;339.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10055;37;management;single;secondary;no;235.0;no;no;unknown;11;jun;27.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10056;55;admin.;married;secondary;no;;no;no;unknown;11;jun;490.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10057;36;blue-collar;married;primary;no;409.0;yes;no;unknown;11;jun;81.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10058;47;blue-collar;married;primary;no;4157.0;no;no;unknown;11;jun;90.0;3;-1;0;unknown;Basketball;Lisboa;yes;no
10059;48;services;married;secondary;no;11516.0;no;no;unknown;11;jun;399.0;8;-1;0;unknown;Soccer;Lisboa;no;no
10060;48;entrepreneur;married;secondary;no;568.0;no;no;unknown;11;jun;148.0;4;-1;0;unknown;Soccer;Lisboa;no;no
10061;45;blue-collar;married;primary;no;13117.0;no;no;unknown;11;jun;;2;-1;0;unknown;Tennis;Lisboa;no;no
10062;44;management;married;tertiary;no;13893.0;no;no;unknown;11;jun;29.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10063;42;admin.;married;secondary;no;105.0;no;no;unknown;11;jun;1159.0;4;-1;0;unknown;Basketball;Lisboa;no;yes
10064;54;retired;married;primary;no;1379.0;no;no;unknown;11;jun;136.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10065;36;management;married;tertiary;no;1604.0;yes;no;unknown;11;jun;;3;-1;0;unknown;Soccer;Lisboa;no;no
10066;50;management;married;tertiary;no;396.0;no;no;unknown;11;jun;62.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10067;49;retired;married;primary;no;3478.0;no;no;unknown;11;jun;484.0;5;-1;0;unknown;Basketball;Lisboa;yes;no
10068;48;technician;married;secondary;no;1637.0;yes;no;unknown;11;jun;305.0;10;-1;0;unknown;Soccer;Lisboa;yes;no
10069;53;retired;single;secondary;no;1846.0;no;no;unknown;11;jun;95.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10070;39;management;married;tertiary;no;-190.0;no;yes;unknown;11;jun;893.0;8;-1;0;unknown;Tennis;Lisboa;no;yes
10071;54;technician;married;secondary;no;2500.0;no;no;unknown;11;jun;62.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10072;50;blue-collar;married;primary;no;811.0;no;no;unknown;11;jun;103.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10073;49;blue-collar;married;primary;no;238.0;no;no;unknown;11;jun;204.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10074;59;retired;married;primary;no;1930.0;no;no;unknown;11;jun;453.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10075;60;services;divorced;secondary;no;47.0;no;no;unknown;11;jun;360.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10076;43;housemaid;divorced;primary;no;0.0;no;no;unknown;11;jun;643.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10077;53;self-employed;married;tertiary;no;1128.0;no;no;unknown;11;jun;29.0;1;-1;0;unknown;Tennis;Lisboa;yes;no
10078;36;technician;married;tertiary;no;4139.0;no;no;unknown;11;jun;175.0;4;-1;0;unknown;Tennis;Lisboa;no;no
10079;59;entrepreneur;married;tertiary;no;;yes;no;unknown;11;jun;;1;-1;0;unknown;Soccer;Lisboa;no;no
10080;27;technician;single;unknown;no;555.0;no;no;unknown;11;jun;240.0;9;-1;0;unknown;Basketball;Lisboa;no;no
10081;38;blue-collar;divorced;secondary;no;2998.0;yes;no;unknown;11;jun;91.0;1;-1;0;unknown;Tennis;Lisboa;yes;no
10082;50;management;married;tertiary;no;0.0;no;no;unknown;11;jun;916.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10083;40;admin.;divorced;secondary;no;1967.0;yes;no;unknown;11;jun;363.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10084;60;blue-collar;married;primary;no;3230.0;no;no;unknown;11;jun;281.0;4;-1;0;unknown;Tennis;Lisboa;yes;no
10085;45;technician;married;secondary;no;3007.0;no;no;unknown;11;jun;442.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10086;36;blue-collar;single;secondary;no;161.0;yes;no;unknown;11;jun;196.0;2;-1;0;unknown;Soccer;Lisboa;yes;no
10087;59;management;married;tertiary;no;1574.0;no;no;unknown;11;jun;181.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10088;35;blue-collar;married;primary;no;234.0;no;no;unknown;11;jun;88.0;5;-1;0;unknown;Soccer;Lisboa;no;no
10089;44;blue-collar;married;primary;no;0.0;no;no;unknown;11;jun;112.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10090;45;entrepreneur;divorced;tertiary;no;1273.0;yes;yes;unknown;11;jun;;3;-1;0;unknown;Soccer;Lisboa;no;no
10091;38;blue-collar;married;primary;no;3057.0;yes;no;unknown;11;jun;133.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10092;46;self-employed;married;primary;no;2295.0;yes;no;unknown;11;jun;138.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10093;37;management;married;primary;no;1959.0;no;no;unknown;11;jun;439.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10094;53;retired;divorced;secondary;no;;no;no;unknown;11;jun;303.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10095;44;housemaid;married;secondary;no;192.0;no;no;unknown;11;jun;232.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10096;59;retired;married;tertiary;no;307.0;no;yes;unknown;11;jun;63.0;5;-1;0;unknown;Soccer;Lisboa;no;no
10097;57;housemaid;married;primary;no;;no;yes;unknown;11;jun;867.0;1;-1;0;unknown;Basketball;Lisboa;yes;yes
10098;51;retired;married;secondary;no;1435.0;no;no;unknown;11;jun;587.0;1;-1;0;unknown;Tennis;Lisboa;no;yes
10099;41;management;single;tertiary;no;8368.0;no;no;unknown;11;jun;179.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10100;45;blue-collar;married;unknown;no;2056.0;no;yes;unknown;11;jun;191.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10101;49;technician;single;tertiary;no;2585.0;no;no;unknown;11;jun;64.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10102;44;blue-collar;married;secondary;no;289.0;no;no;unknown;11;jun;;1;-1;0;unknown;Basketball;Lisboa;no;no
10103;38;housemaid;married;secondary;no;634.0;no;no;unknown;11;jun;105.0;4;-1;0;unknown;Soccer;Lisboa;no;no
10104;53;admin.;single;secondary;no;;no;yes;unknown;11;jun;328.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10105;39;blue-collar;single;secondary;no;393.0;yes;no;unknown;11;jun;339.0;1;-1;0;unknown;Soccer;Lisboa;yes;no
10106;50;management;married;unknown;no;8345.0;no;no;unknown;11;jun;561.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10107;54;management;married;tertiary;no;16843.0;no;no;unknown;11;jun;116.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10108;60;blue-collar;married;unknown;no;3538.0;no;no;unknown;11;jun;261.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10109;52;retired;married;unknown;no;293.0;no;no;unknown;11;jun;706.0;1;-1;0;unknown;Soccer;Lisboa;no;yes
10110;58;admin.;married;primary;no;2232.0;no;no;unknown;11;jun;219.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10111;59;self-employed;married;secondary;no;1986.0;no;no;unknown;11;jun;139.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10112;51;admin.;single;unknown;no;196.0;no;no;unknown;11;jun;98.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10113;42;self-employed;divorced;tertiary;no;0.0;no;no;unknown;11;jun;694.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10114;38;self-employed;single;secondary;yes;0.0;no;no;unknown;11;jun;;3;-1;0;unknown;Basketball;Lisboa;no;no
10115;39;blue-collar;married;secondary;no;7653.0;no;no;unknown;11;jun;165.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10116;49;services;divorced;secondary;no;725.0;no;no;unknown;11;jun;275.0;2;-1;0;unknown;Tennis;Lisboa;no;no
10117;37;self-employed;married;secondary;no;883.0;no;no;unknown;11;jun;153.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10118;54;housemaid;married;unknown;no;4789.0;no;no;unknown;11;jun;83.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10119;51;blue-collar;married;unknown;no;1137.0;no;no;unknown;11;jun;76.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10120;42;housemaid;married;primary;yes;16.0;no;no;unknown;11;jun;79.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10121;58;management;married;unknown;no;0.0;no;no;unknown;11;jun;145.0;1;-1;0;unknown;Tennis;Lisboa;yes;no
